"","x"
"728","Perdita mohavensis"
"729","Osmia pusilla"
"730","Osmia hesperos"
"731","Osmia cara"
"732","Neolarra californica"
"733","Andrena plana"
"734","Perdita arenaria"
"735","Andrena escondida"
"736","Megachile gravita"
"737","Andrena perarmata"
"738","Megachile melanophaea"
"739","Melecta bohartorum"
"740","Perdita utahensis"
"741","Perdita melanochlora"
"742","Protohalonia carinata"
"743","Megachile relativa"
"744","Melissodes velutinus"
"745","Calliopsis zonalis"
"746","Lasioglossum argemonis"
"747","Ashmeadiella erema"
"748","Melissodes vernalis"
"749","Dianthidium plenum"
"750","Atoposmia hemizoniae"
"751","Perdita polycarpae"
"752","Andrena chalybioides"
"753","Megachile fucata"
"754","Melissodes semilupinus"
"755","Coelioxys edita"
"756","Stelis lateralis"
"757","Andrena trimmerana"
"758","Atoposmia robustula"
"759","Andrena gibberis"
"760","Oreopasites vanduzeei"
"761","Atoposmia panamintensis"
"762","Perdita thermophila"
"763","Coelioxys gonaspis"
"764","Osmia grinnelli"
"765","Dufourea afasciata"
"766","Andrena lomatii"
"767","Diadasia martialis"
"768","Panurginus nigrellus"
"769","Andrena perimelas"
"770","Perdita rivalis"
"771","Perdita proxima"
"772","Perdita distropica"
"773","Neolarra batrae"
"774","Panurginus armaticeps"
"775","Anthophorula chionura"
"776","Andrena mohavensis"
"777","Osmia pentstemonis"
"778","Ashmeadiella foxiella"
"779","Nomada crotchii"
"780","Megachile maurata"
"781","Osmia malina"
"782","Stelis ashmeadiellae"
"783","Andrena crataegi"
"784","Anthophora podagra"
"785","Sphecodes pecosensis"
"786","Perdita flaviceps"
"787","Andrena aurihirta"
"788","Perdita stephanomeriae"
"789","Perdita colei"
"790","Nomada pascoensis"
"791","Townsendiella pulchra"
"792","Hoplitis tristis"
"793","Perdita robustula"
"794","Ashmeadiella breviceps"
"795","Epeolus americanus"
"796","Andrena nigroclypeata"
"797","Stelis hemirhoda"
"798","Anthophora dammersi"
"799","Perdita pelargoides"
"800","Atoposmia rupestris"
"801","Osmia giffardi"
"802","Andrena barbilabris"
"803","Coelioxys sodalis"
"804","Anthophorula palmarum"
"805","Melissodes subagilis"
"806","Andrena thaspii"
"807","Melissodes minusculus"
"808","Hoplitis louisae"
"809","Hoplitis mojavensis"
"810","Hoplitis xerophila"
"811","Ashmeadiella digiticauda"
"812","Perdita leucosticta"
"813","Ashmeadiella clypeodentata"
"814","Perdita viridicollis"
"815","Ashmeadiella inyoensis"
"816","Osmia melanopleura"
"817","Perdita swezeyi"
"818","Perdita gutierreziae"
"819","Anthophorula rufiventris"
"820","Dufourea calochorti"
"821","Andrena sigmundi"
"822","Anthophora ursina"
"823","Zacosmia maculata"
"824","Dufourea viridis"
"825","Perdita abdominalis"
"826","Melissodes melanurus"
"827","Andrena cressonii"
"828","Perdita heterothecae"
"829","Anthidium emarginatum"
"830","Melissodes ochraea"
"831","Hoplitis paroselae"
"832","Ashmeadiella australis"
"833","Nomada erythraea"
"834","Ashmeadiella rufitarsis"
"835","Andrena vanduzeei"
"836","Anthophora parkeri"
"837","Panurginus nigrihirtus"
"838","Perdita difficilis"
"839","Perdita bohartorum"
"840","Andrena levipes"
"841","Hoplitis laevibullata"
"842","Andrena merriami"
"843","Dufourea cuprea"
"844","Heriades gracilior"
"845","Perdita albovittata"
"846","Atoposmia elongata"
"847","Andrena nigrocaerulea"
"848","Andrena saccata"
"849","Melissodes verbesinarum"
"850","Eucera acerba"
"851","Anthophora pachyodonta"
"852","Melissodes monoensis"
"853","Melissodes grindeliae"
"854","Anthophora coptognatha"
"855","Anthophora erythrothorax"
"856","Megachile snowi"
"857","Perdita flavicauda"
"858","Megachile subnigra"
"859","Panurginus atriceps"
"860","Andrena obscuripostica"
"861","Osmia nanula"
"862","Anthophorula compactula"
"863","Anthophora fulvicauda"
"864","Perdita albonotata"
"865","Osmia densa"
"866","Megachile pascoensis"
"867","Ashmeadiella altadenae"
"868","Andrena misella"
"869","Atoposmia nitidivitta"
"870","Eucera phaceliae"
"871","Coelioxys banksi"
"872","Sphecodosoma dicksoni"
"873","Osmia kincaidii"
"874","Perdita sonorensis"
"875","Calliopsis deserticola"
"876","Eucera primiveris"
"877","Megachile frigida"
"878","Hylaeus timberlakei"
"879","Townsendiella californica"
"880","Andrena layiae"
"881","Calliopsis foleyi"
"882","Perdita koebelei"
"883","Osmia sanctaerosae"
"884","Eucera arizonica"
"885","Perdita bridwelli"
"886","Osmia obliqua"
"887","Hoplitis remotula"
"888","Dufourea leachi"
"889","Hesperapis arida"
"890","Dufourea davidsoni"
"891","Stelis semirubra"
"892","Panurginus ceanothi"
"893","Lasioglossum cooleyi"
"894","Osmia morongana"
"895","Perdita fieldi"
